"run","nParties","randomSeed","partyInfluence","voterReach","percentageOfMembers","partyReach","nVoters","socialInfluence","endAt"
1,5,1014407829,0.0,3,0.1,20,100,0.0,60
3,5,1014407907,0.0,3,0.1,20,100,0.02,60
5,5,1014407923,0.0,3,0.1,20,100,0.04,60
7,5,1014407954,0.0,3,0.1,20,100,0.06,60
9,5,1014407970,0.0,3,0.1,20,100,0.08,60
11,5,1014407986,0.0,3,0.1,20,100,0.1,60
13,5,1014408017,0.2,3,0.1,20,100,0.01,60
15,5,1014408032,0.2,3,0.1,20,100,0.03,60
17,5,1014408048,0.2,3,0.1,20,100,0.05,60
19,5,1014408064,0.2,3,0.1,20,100,0.07,60
21,5,1014408095,0.2,3,0.1,20,100,0.09,60
23,5,1014408111,0.4,3,0.1,20,100,0.0,60
25,5,1014408126,0.4,3,0.1,20,100,0.02,60
27,5,1014408142,0.4,3,0.1,20,100,0.04,60
29,5,1014408173,0.4,3,0.1,20,100,0.06,60
31,5,1014408189,0.4,3,0.1,20,100,0.08,60
33,5,1014408204,0.4,3,0.1,20,100,0.1,60
35,5,1014408220,0.6,3,0.1,20,100,0.01,60
37,5,1014408251,0.6,3,0.1,20,100,0.03,60
39,5,1014408267,0.6,3,0.1,20,100,0.05,60
41,5,1014408282,0.6,3,0.1,20,100,0.07,60
43,5,1014408298,0.6,3,0.1,20,100,0.09,60
45,5,1014408329,0.8,3,0.1,20,100,0.0,60
47,5,1014408345,0.8,3,0.1,20,100,0.02,60
49,5,1014408361,0.8,3,0.1,20,100,0.04,60
51,5,1014408376,0.8,3,0.1,20,100,0.06,60
53,5,1014408407,0.8,3,0.1,20,100,0.08,60
55,5,1014408423,0.8,3,0.1,20,100,0.1,60
57,5,1014408439,1.0,3,0.1,20,100,0.01,60
59,5,1014408454,1.0,3,0.1,20,100,0.03,60
61,5,1014408470,1.0,3,0.1,20,100,0.05,60
63,5,1014408486,1.0,3,0.1,20,100,0.07,60
65,5,1014408517,1.0,3,0.1,20,100,0.09,60
2,5,1014407923,0.0,3,0.1,20,100,0.01,60
4,5,1014407986,0.0,3,0.1,20,100,0.03,60
6,5,1014408017,0.0,3,0.1,20,100,0.05,60
8,5,1014408032,0.0,3,0.1,20,100,0.07,60
10,5,1014408064,0.0,3,0.1,20,100,0.09,60
12,5,1014408079,0.2,3,0.1,20,100,0.0,60
14,5,1014408095,0.2,3,0.1,20,100,0.02,60
16,5,1014408111,0.2,3,0.1,20,100,0.04,60
18,5,1014408142,0.2,3,0.1,20,100,0.06,60
20,5,1014408157,0.2,3,0.1,20,100,0.08,60
22,5,1014408173,0.2,3,0.1,20,100,0.1,60
24,5,1014408204,0.4,3,0.1,20,100,0.01,60
26,5,1014408220,0.4,3,0.1,20,100,0.03,60
28,5,1014408236,0.4,3,0.1,20,100,0.05,60
30,5,1014408251,0.4,3,0.1,20,100,0.07,60
32,5,1014408282,0.4,3,0.1,20,100,0.09,60
34,5,1014408298,0.6,3,0.1,20,100,0.0,60
36,5,1014408314,0.6,3,0.1,20,100,0.02,60
38,5,1014408329,0.6,3,0.1,20,100,0.04,60
40,5,1014408361,0.6,3,0.1,20,100,0.06,60
42,5,1014408376,0.6,3,0.1,20,100,0.08,60
44,5,1014408392,0.6,3,0.1,20,100,0.1,60
46,5,1014408407,0.8,3,0.1,20,100,0.01,60
48,5,1014408423,0.8,3,0.1,20,100,0.03,60
50,5,1014408454,0.8,3,0.1,20,100,0.05,60
52,5,1014408470,0.8,3,0.1,20,100,0.07,60
54,5,1014408486,0.8,3,0.1,20,100,0.09,60
56,5,1014408501,1.0,3,0.1,20,100,0.0,60
58,5,1014408517,1.0,3,0.1,20,100,0.02,60
60,5,1014408548,1.0,3,0.1,20,100,0.04,60
62,5,1014408564,1.0,3,0.1,20,100,0.06,60
64,5,1014408579,1.0,3,0.1,20,100,0.08,60
66,5,1014408595,1.0,3,0.1,20,100,0.1,60
